FLUKE 289,  V1.16,  40810170

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
12/1/2025 12:16:21 PM,12/2/2025 4:45:15 PM,28:28:54,0:00:26,12388,3944,8853,Motor 2
Max Time,Max,Average,Min,Min Time,Scaling,
12/1/2025 12:19:27 PM,8.855 V DC,4.6733 V DC,0.0203 V DC,12/1/2025 12:16:21 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
84,8.760 V DC,12/1/2025 12:23:12.8,0:00:03.4,12/1/2025 12:23:15.7,8.844 V DC,8.818 V DC,12/1/2025 12:23:13.9,8.746 V DC,Interval,12/1/2025 12:23:16.2
85,8.820 V DC,12/1/2025 12:23:16.2,0:00:01.0,12/1/2025 12:23:17.1,8.844 V DC,8.823 V DC,12/1/2025 12:23:16.8,8.773 V DC,Stable,12/1/2025 12:23:17.2
86,8.721 V DC,12/1/2025 12:23:17.2,0:00:04.7,12/1/2025 12:23:19.4,8.846 V DC,8.827 V DC,12/1/2025 12:23:17.2,8.721 V DC,Stable,12/1/2025 12:23:22.0
87,8.847 V DC,12/1/2025 12:23:22.0,0:00:15.0,12/1/2025 12:23:22.7,8.850 V DC,8.826 V DC,12/1/2025 12:23:32.4,8.760 V DC,Stable,12/1/2025 12:23:37.0
88,8.731 V DC,12/1/2025 12:23:37.0,0:00:05.2,12/1/2025 12:23:40.5,8.847 V DC,8.826 V DC,12/1/2025 12:23:40.7,8.709 V DC,Interval,12/1/2025 12:23:42.2
89,8.846 V DC,12/1/2025 12:23:42.2,0:00:00.3,12/1/2025 12:23:42.2,8.846 V DC,8.753 V DC,12/1/2025 12:23:42.4,8.673 V DC,Unstable,12/1/2025 12:23:42.5
90,8.805 V DC,12/1/2025 12:23:42.5,0:00:03.8,12/1/2025 12:23:45.8,8.848 V DC,8.822 V DC,12/1/2025 12:23:46.2,8.749 V DC,Stable,12/1/2025 12:23:46.3
91,8.633 V DC,12/1/2025 12:23:46.3,0:00:00.1,12/1/2025 12:23:46.3,8.633 V DC,8.633 V DC,12/1/2025 12:23:46.3,8.633 V DC,Unstable,12/1/2025 12:23:46.4
92,8.795 V DC,12/1/2025 12:23:46.4,0:00:04.9,12/1/2025 12:23:48.0,8.847 V DC,8.828 V DC,12/1/2025 12:23:46.6,8.766 V DC,Stable,12/1/2025 12:23:51.4
93,8.715 V DC,12/1/2025 12:23:51.4,0:00:00.2,12/1/2025 12:23:51.5,8.732 V DC,8.723 V DC,12/1/2025 12:23:51.4,8.715 V DC,Unstable,12/1/2025 12:23:51.6
94,8.811 V DC,12/1/2025 12:23:51.6,0:00:03.4,12/1/2025 12:23:53.8,8.847 V DC,8.831 V DC,12/1/2025 12:23:52.3,8.792 V DC,Stable,12/1/2025 12:23:55.0
95,8.697 V DC,12/1/2025 12:23:55.0,0:00:00.7,12/1/2025 12:23:55.2,8.834 V DC,8.785 V DC,12/1/2025 12:23:55.0,8.697 V DC,Unstable,12/1/2025 12:23:55.7
96,8.816 V DC,12/1/2025 12:23:55.7,0:00:05.5,12/1/2025 12:23:58.1,8.848 V DC,8.825 V DC,12/1/2025 12:24:00.4,8.749 V DC,Stable,12/1/2025 12:24:01.2
97,8.733 V DC,12/1/2025 12:24:01.2,0:00:06.9,12/1/2025 12:24:06.5,8.847 V DC,8.827 V DC,12/1/2025 12:24:01.2,8.733 V DC,Interval,12/1/2025 12:24:08.2
98,8.847 V DC,12/1/2025 12:24:08.2,0:00:02.0,12/1/2025 12:24:08.3,8.848 V DC,8.828 V DC,12/1/2025 12:24:09.8,8.762 V DC,Stable,12/1/2025 12:24:10.2
99,8.754 V DC,12/1/2025 12:24:10.2,0:00:10.0,12/1/2025 12:24:13.4,8.845 V DC,8.823 V DC,12/1/2025 12:24:17.2,8.706 V DC,Stable,12/1/2025 12:24:20.1
100,8.684 V DC,12/1/2025 12:24:20.1,0:00:00.1,12/1/2025 12:24:20.1,8.684 V DC,8.684 V DC,12/1/2025 12:24:20.1,8.684 V DC,Unstable,12/1/2025 12:24:20.2
101,8.779 V DC,12/1/2025 12:24:20.2,0:00:12.5,12/1/2025 12:24:22.5,8.845 V DC,8.824 V DC,12/1/2025 12:24:28.4,8.741 V DC,Stable,12/1/2025 12:24:32.7
102,8.690 V DC,12/1/2025 12:24:32.7,0:00:00.1,12/1/2025 12:24:32.7,8.690 V DC,8.690 V DC,12/1/2025 12:24:32.7,8.690 V DC,Unstable,12/1/2025 12:24:32.8
103,8.810 V DC,12/1/2025 12:24:32.8,0:00:01.0,12/1/2025 12:24:33.6,8.841 V DC,8.815 V DC,12/1/2025 12:24:33.7,8.763 V DC,Stable,12/1/2025 12:24:33.8
104,8.682 V DC,12/1/2025 12:24:33.8,0:00:00.1,12/1/2025 12:24:33.8,8.682 V DC,8.682 V DC,12/1/2025 12:24:33.8,8.682 V DC,Unstable,12/1/2025 12:24:33.9
105,8.806 V DC,12/1/2025 12:24:33.9,0:00:00.5,12/1/2025 12:24:33.9,8.806 V DC,8.806 V DC,12/1/2025 12:24:33.9,8.806 V DC,Interval,12/1/2025 12:24:34.4
106,8.819 V DC,12/1/2025 12:24:34.4,0:00:25.8,12/1/2025 12:24:43.3,8.845 V DC,8.818 V DC,12/1/2025 12:24:58.6,8.702 V DC,Interval,12/1/2025 12:25:00.2
107,8.826 V DC,12/1/2025 12:25:00.2,0:00:05.4,12/1/2025 12:25:03.9,8.844 V DC,8.824 V DC,12/1/2025 12:25:02.3,8.762 V DC,Stable,12/1/2025 12:25:05.6
108,8.717 V DC,12/1/2025 12:25:05.6,0:00:01.0,12/1/2025 12:25:06.3,8.836 V DC,8.773 V DC,12/1/2025 12:25:06.4,8.672 V DC,Unstable,12/1/2025 12:25:06.6
109,8.816 V DC,12/1/2025 12:25:06.6,0:00:17.1,12/1/2025 12:25:12.8,8.845 V DC,8.825 V DC,12/1/2025 12:25:13.4,8.735 V DC,Stable,12/1/2025 12:25:23.7
110,8.688 V DC,12/1/2025 12:25:23.7,0:00:00.4,12/1/2025 12:25:23.9,8.765 V DC,8.717 V DC,12/1/2025 12:25:23.7,8.688 V DC,Unstable,12/1/2025 12:25:24.1
111,8.790 V DC,12/1/2025 12:25:24.1,0:00:02.1,12/1/2025 12:25:25.3,8.836 V DC,8.805 V DC,12/1/2025 12:25:25.6,8.735 V DC,Interval,12/1/2025 12:25:26.2
112,8.779 V DC,12/1/2025 12:25:26.2,0:00:09.3,12/1/2025 12:25:28.0,8.844 V DC,8.819 V DC,12/1/2025 12:25:33.9,8.739 V DC,Stable,12/1/2025 12:25:35.5
113,8.713 V DC,12/1/2025 12:25:35.5,0:00:00.1,12/1/2025 12:25:35.5,8.713 V DC,8.713 V DC,12/1/2025 12:25:35.5,8.713 V DC,Unstable,12/1/2025 12:25:35.6
114,8.810 V DC,12/1/2025 12:25:35.6,0:00:02.8,12/1/2025 12:25:37.6,8.840 V DC,8.816 V DC,12/1/2025 12:25:36.1,8.732 V DC,Stable,12/1/2025 12:25:38.4
115,8.706 V DC,12/1/2025 12:25:38.4,0:00:00.6,12/1/2025 12:25:38.9,8.828 V DC,8.789 V DC,12/1/2025 12:25:38.4,8.706 V DC,Unstable,12/1/2025 12:25:39.0
