FLUKE 289,  V1.16,  40810170 Douglas Hutchings

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
4/20/2026 9:14:51 PM,4/21/2026 12:01:51 AM,2:47:00,0:01:00,223,168,57,Motor 17
Max Time,Max,Average,Min,Min Time,Scaling,
4/20/2026 9:15:43 PM,10.143 V DC,9.873 V DC,8.651 V DC,4/20/2026 9:30:46 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
103,9.922 V DC,4/20/2026 22:10:50.5,0:01:00.0,4/20/2026 22:10:53.1,9.927 V DC,9.908 V DC,4/20/2026 22:11:30.7,9.827 V DC,Interval,4/20/2026 22:11:50.5
104,9.920 V DC,4/20/2026 22:11:50.5,0:01:00.1,4/20/2026 22:11:52.2,9.925 V DC,9.905 V DC,4/20/2026 22:12:28.7,9.823 V DC,Interval,4/20/2026 22:12:50.6
105,9.920 V DC,4/20/2026 22:12:50.6,0:01:00.0,4/20/2026 22:12:59.5,9.923 V DC,9.904 V DC,4/20/2026 22:13:06.4,9.821 V DC,Interval,4/20/2026 22:13:50.5
106,9.854 V DC,4/20/2026 22:13:50.5,0:01:00.0,4/20/2026 22:13:59.9,9.920 V DC,9.903 V DC,4/20/2026 22:14:48.0,9.821 V DC,Interval,4/20/2026 22:14:50.5
107,9.916 V DC,4/20/2026 22:14:50.5,0:01:00.2,4/20/2026 22:15:00.7,9.918 V DC,9.899 V DC,4/20/2026 22:15:03.6,9.823 V DC,Interval,4/20/2026 22:15:50.6
108,9.844 V DC,4/20/2026 22:15:50.6,0:00:59.9,4/20/2026 22:16:14.7,9.917 V DC,9.898 V DC,4/20/2026 22:16:27.0,9.814 V DC,Interval,4/20/2026 22:16:50.5
109,9.913 V DC,4/20/2026 22:16:50.5,0:00:12.1,4/20/2026 22:16:50.6,9.914 V DC,9.896 V DC,4/20/2026 22:16:57.7,9.828 V DC,Stable,4/20/2026 22:17:02.6
110,9.806 V DC,4/20/2026 22:17:02.6,0:00:48.0,4/20/2026 22:17:21.4,9.913 V DC,9.894 V DC,4/20/2026 22:17:02.6,9.806 V DC,Interval,4/20/2026 22:17:50.6
111,9.864 V DC,4/20/2026 22:17:50.6,0:01:00.0,4/20/2026 22:18:06.1,9.913 V DC,9.893 V DC,4/20/2026 22:18:30.9,9.813 V DC,Interval,4/20/2026 22:18:50.5
112,9.901 V DC,4/20/2026 22:18:50.5,0:01:00.1,4/20/2026 22:19:12.3,9.910 V DC,9.891 V DC,4/20/2026 22:18:50.7,9.807 V DC,Interval,4/20/2026 22:19:50.6
113,9.882 V DC,4/20/2026 22:19:50.6,0:01:00.0,4/20/2026 22:19:51.4,9.908 V DC,9.889 V DC,4/20/2026 22:20:23.8,9.817 V DC,Interval,4/20/2026 22:20:50.5
114,9.904 V DC,4/20/2026 22:20:50.5,0:01:00.0,4/20/2026 22:20:53.3,9.906 V DC,9.887 V DC,4/20/2026 22:21:45.7,9.809 V DC,Interval,4/20/2026 22:21:50.5
115,9.869 V DC,4/20/2026 22:21:50.5,0:01:00.1,4/20/2026 22:21:54.1,9.904 V DC,9.884 V DC,4/20/2026 22:22:13.8,9.804 V DC,Interval,4/20/2026 22:22:50.6
